产品代码,产品名称,净值,累计净值,风险等级,业绩基准,状态
"FBAG19971S","民生理财富竹固收稳健封闭71号理财产品S",1.0101,1.0101,2,"2.20%-2.50%","已结束"
"FBAG19971Q","民生理财富竹固收稳健封闭71号理财产品Q",1.0103,1.0103,2,"2.24%-2.54%","已结束"
"FBAE41317F","民生理财贵竹固收增利月月盈30天持有期17号理财产品F",1.030112,1.030112,2,"1.50%-2.20%","在售"
"FBAE41140H","民生理财贵竹固收增利周周盈7天持有期40号理财产品H",1.028599,1.028599,2,"1.20%-2.20%","在售"
"FBAG98138M","民生理财富竹固收封闭138号理财产品M",1.0084,1.0084,2,"2.35%-2.75%","已结束"
"FBAG98138N","民生理财富竹固收封闭138号理财产品N",1.0088,1.0088,2,"2.45%-2.85%","已结束"
"FBAG98138P","民生理财富竹固收封闭138号理财产品P",1.0086,1.0086,2,"2.40%-2.80%","已结束"
"FBAG98104B","民生理财富竹固收封闭104号理财产品（私银）",1.0092,1.0092,2,"2.05%-2.25%","已结束"
"FBAE41223A","民生理财贵竹固收增利双周盈14天持有期23号理财产品A",1.021203,1.021203,2,"1.20%-2.20%","在售"
"FBAE41223E","民生理财贵竹固收增利双周盈14天持有期23号理财产品E",1.021203,1.021203,2,"1.20%-2.20%","在售"
"FBAE46102E","民生理财贵竹固收增强1个月持有期2号理财产品E",1.0268,1.0268,3,"2.10%-2.70%","在售"
"FBAE47414E","民生理财贵竹固收增利红利半年持有期3号理财产品E",1.0181,1.0181,2,"2.40%-3.20%","在售"
"FBAE47414F","民生理财贵竹固收增利红利半年持有期3号理财产品F",1.0181,1.0181,2,"2.40%-3.20%","在售"
"FBAE47421E","民生理财贵竹固收增利双债增强半年持有期1号理财产品E",1.0309,1.0309,2,"2.40%-3.20%","在售"
"FBAE47421F","民生理财贵竹固收增利双债增强半年持有期1号理财产品F",1.0309,1.0309,2,"2.40%-3.20%","在售"
"FBAE38401A","民生理财贵竹固收丰益半年持有期1号理财产品",1.0141,1.0141,3,"2.20%-3.20%","在售"
"FBAE38401E","民生理财贵竹固收丰益半年持有期1号理财产品E",1.0141,1.0141,3,"2.20%-3.20%","在售"
"FBAE51002S","民生理财贵竹固收增强多策略日开2号理财产品S",1.0529,1.0529,3,"2.20%-4.00%","在售"
"FBAE51002B","民生理财贵竹固收增强多策略日开2号理财产品B",1.0528,1.0528,3,"2.20%-4.00%","在售"
"FBAE41338E","民生理财贵竹固收增利月月盈30天持有期38号理财产品E",1.012971,1.012971,2,"1.50%-2.20%","在售"
"FBAE41338F","民生理财贵竹固收增利月月盈30天持有期38号理财产品F",1.012971,1.012971,2,"1.50%-2.20%","在售"
"FBAE41338P","民生理财贵竹固收增利月月盈30天持有期38号理财产品P",1.012971,1.012971,2,"1.50%-2.20%","在售"
"FBAE41339P","民生理财贵竹固收增利月月盈30天持有期39号理财产品P",1.01292,1.01292,2,"1.50%-2.20%","在售"
"FBAE41339F","民生理财贵竹固收增利月月盈30天持有期39号理财产品F",1.01292,1.01292,2,"1.50%-2.20%","在售"
"FBAE41339E","民生理财贵竹固收增利月月盈30天持有期39号理财产品E",1.01292,1.01292,2,"1.50%-2.20%","在售"
"FBAE47401E","民生理财贵竹固收增利全球精选半年持有期1号理财产品E",1.0115,1.0115,2,"2.40%-3.20%","在售"
"FBAE47401F","民生理财贵竹固收增利全球精选半年持有期1号理财产品F",1.0115,1.0115,2,"2.40%-3.20%","在售"
"FBAG69001A","民生理财贵竹添利稳健精选封闭1号理财产品A",1.0117,1.0117,2,"2.55%-2.95%","已结束"
"FBAG69001B","民生理财贵竹添利稳健精选封闭1号理财产品B",1.0118,1.0118,2,"2.58%-2.98%","已结束"
"FBAG69001J","民生理财贵竹添利稳健精选封闭1号理财产品J",1.0121,1.0121,2,"2.65%-3.05%","已结束"
"FBAG69001H","民生理财贵竹添利稳健精选封闭1号理财产品H",1.0119,1.0119,2,"2.60%-3.00%","已结束"
"FBAG69001S","民生理财贵竹添利稳健精选封闭1号理财产品S",1.0119,1.0119,2,"2.60%-3.00%","已结束"
"FBAG69001Q","民生理财贵竹添利稳健精选封闭1号理财产品Q",1.0121,1.0121,2,"2.65%-3.05%","已结束"
"FBAG98096E","民生理财富竹固收封闭96号理财产品E",1.0062,1.0062,2,"2.40%-2.70%","已结束"
"FBAG98118E","民生理财富竹固收封闭118号理财产品E",1.0074,1.0074,2,"2.25%-2.55%","已结束"
"FBAG98122E","民生理财富竹固收封闭122号理财产品E",1.0087,1.0087,2,"2.32%-2.62%","已结束"
"FBAG98101A","民生理财富竹固收封闭101号理财产品（个金）",1.0079,1.0079,2,"1.95%-2.25%","已结束"
"FBAG98115E","民生理财富竹固收封闭115号理财产品E",1.0068,1.0068,2,"2.25%-2.55%","已结束"
"FBAG98117E","民生理财富竹固收封闭117号理财产品E",1.0072,1.0072,2,"2.25%-2.55%","已结束"
"FBAG98121E","民生理财富竹固收封闭121号理财产品E",1.0063,1.0063,2,"2.30%-2.60%","已结束"
"FBAG98105B","民生理财富竹固收封闭105号理财产品（私银康庄）",1.0077,1.0077,2,"2.10%-2.30%","已结束"
"FBAG98109B","民生理财富竹固收封闭109号理财产品（私银）",1.0062,1.0062,2,"2.15%-2.35%","已结束"
"FBAE60106M","民生理财富竹纯债7天持有期6号理财产品M",1.0414,1.0414,2,"1.50%-2.20%","在售"
"FBAE60106N","民生理财富竹纯债7天持有期6号理财产品N",1.0407,1.0407,2,"1.50%-2.20%","在售"
"FBAE60106A","民生理财富竹纯债7天持有期6号理财产品",1.0411,1.0411,2,"1.50%-2.20%","在售"
"FBAE67212A","民生理财贵竹固收增利季季发90天持有期12号理财产品A",1.0079,1.0079,2,"1.60%-2.30%","在售"
"FBAE41507F","民生理财贵竹固收增利季季盈90天持有期7号理财产品F",1.03495,1.03495,2,"1.60%-2.30%","在售"
"FBAE41507M","民生理财贵竹固收增利季季盈90天持有期7号理财产品M",1.03566,1.03566,2,"1.60%-2.30%","在售"
"FBAE41039A","民生理财贵竹固收增利天天盈39号理财产品A",1.03681,1.03681,2,"1.00%-2.00%","在售"
"FBAE41345E","民生理财贵竹固收增利月月盈30天持有期45号理财产品E",1.010194,1.010194,2,"1.50%-2.20%","在售"
"FBAE41097A","民生理财贵竹固收增利天天盈97号理财产品A",1.01777,1.01777,2,"1.00%-2.00%","在售"
"FBAG62214F","民生理财富竹固收优选封闭114号理财产品F",1.0088,1.0088,2,"2.50%-2.80%","已结束"
"FBAG17131A","民生理财贵竹固收添益多策略封闭1号理财产品",1.0093,1.0093,2,"2.60%-3.20%","已结束"
"FBAG17131S","民生理财贵竹固收添益多策略封闭1号理财产品S",1.0094,1.0094,2,"2.65%-3.25%","已结束"
"FBAG17131J","民生理财贵竹固收添益多策略封闭1号理财产品J",1.0096,1.0096,2,"2.70%-3.30%","已结束"
"FBAG17131B","民生理财贵竹固收添益多策略封闭1号理财产品B",1.0094,1.0094,2,"2.63%-3.23%","已结束"
"FBAF19065E","民生理财天天增利现金管理61号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG98157H","民生理财富竹固收封闭157号理财产品H",1.0051,1.0051,2,"1.90%-2.10%","已结束"
"FBAG98158H","民生理财富竹固收封闭158号理财产品H",1.0054,1.0054,2,"1.90%-2.10%","已结束"
"FBAG97172G","民生理财贵竹固收增利盈系列封闭172号理财产品G",1.0069,1.0069,2,"2.07%-2.27%","已结束"
"FBAE38402A","民生理财贵竹固收丰益半年持有期2号理财产品",1.0083,1.0083,3,"2.20%-3.20%","在售"
"FBAE38402E","民生理财贵竹固收丰益半年持有期2号理财产品E",1.0083,1.0083,3,"2.20%-3.20%","在售"
"FBAE61011E","民生理财富竹纯债91天持有期8号理财产品E",1.0443,1.0443,2,"1.60%-2.30%","在售"
"FBAF19243N","民生理财天天增利现金管理243号理财产品N",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE41117B","民生理财贵竹固收增利周周盈7天持有期17号理财产品B",1.0786,1.0786,2,"1.20%-2.20%","在售"
"FBAE41117S","民生理财贵竹固收增利周周盈7天持有期17号理财产品S",1.0787,1.0787,2,"1.20%-2.20%","在售"
"FBAE41117Q","民生理财贵竹固收增利周周盈7天持有期17号理财产品Q",1.0789,1.0789,2,"1.20%-2.20%","在售"
